Match,Frame,label,image_path
Arsenal_vs_Manchester_City,0,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000000.jpg
Arsenal_vs_Manchester_City,1,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000001.jpg
Arsenal_vs_Manchester_City,2,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000002.jpg
Arsenal_vs_Manchester_City,3,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000003.jpg
Arsenal_vs_Manchester_City,4,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000004.jpg
Arsenal_vs_Manchester_City,5,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000005.jpg
Arsenal_vs_Manchester_City,6,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000006.jpg
Arsenal_vs_Manchester_City,7,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000007.jpg
Arsenal_vs_Manchester_City,8,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000008.jpg
Arsenal_vs_Manchester_City,9,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000009.jpg
Arsenal_vs_Manchester_City,10,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000010.jpg
Arsenal_vs_Manchester_City,11,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000011.jpg
Arsenal_vs_Manchester_City,12,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000012.jpg
Arsenal_vs_Manchester_City,13,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000013.jpg
Arsenal_vs_Manchester_City,14,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000014.jpg
Arsenal_vs_Manchester_City,15,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000015.jpg
Arsenal_vs_Manchester_City,16,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000016.jpg
Arsenal_vs_Manchester_City,17,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000017.jpg
Arsenal_vs_Manchester_City,18,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000018.jpg
Arsenal_vs_Manchester_City,19,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000019.jpg
Arsenal_vs_Manchester_City,20,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000020.jpg
Arsenal_vs_Manchester_City,21,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000021.jpg
Arsenal_vs_Manchester_City,22,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000022.jpg
Arsenal_vs_Manchester_City,23,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000023.jpg
Arsenal_vs_Manchester_City,24,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000024.jpg
Arsenal_vs_Manchester_City,25,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000025.jpg
Arsenal_vs_Manchester_City,26,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000026.jpg
Arsenal_vs_Manchester_City,27,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000027.jpg
Arsenal_vs_Manchester_City,28,0,/home/travis/Projects/football_event_data_generation/camera_classifier/data_generation/frame_data/Ars_ManCit/frame_000028.jpg
